epoch,train_loss,train_acc,val_loss,val_acc
0,3.0951996,9.841836734693878,3.6119678,7.5
1,2.736912,17.086734693877553,2.5748394,19.5
2,2.5103629,22.612244897959183,2.6719022,21.5
3,2.365814,26.505102040816325,2.7619228,26.714285714285715
4,2.2852473,29.4234693877551,2.253005,30.5
5,2.212143,31.229591836734695,2.3580077,33.142857142857146
6,2.14021,33.18877551020408,2.1819603,35.142857142857146
7,2.060526,36.42857142857143,2.0857854,35.57142857142857
8,2.0025256,37.816326530612244,2.201149,33.714285714285715
9,1.938393,39.81122448979592,1.8494934,42.57142857142857
10,1.8851156,41.53061224489796,1.9237001,40.642857142857146
11,1.8525076,42.38265306122449,1.9984858,36.785714285714285
12,1.8229574,43.545918367346935,1.9465333,38.07142857142857
13,1.7729744,44.795918367346935,1.7238295,45.142857142857146
14,1.731416,45.65816326530612,4.3892765,21.642857142857142
15,1.7024994,46.68877551020408,2.5128336,32.785714285714285
16,1.6853077,47.54081632653061,1.8457024,43.57142857142857
17,1.6595795,48.16326530612245,1.8885838,43.07142857142857
18,1.625972,49.12755102040816,1.8050271,46.357142857142854
19,1.6170939,49.32142857142857,1.9922588,40.285714285714285
20,1.5858706,50.58673469387755,1.562971,51.42857142857143
21,1.5732731,50.89795918367347,2.5074372,37.07142857142857
22,1.5564363,51.43877551020408,2.4568937,37.5
23,1.5306485,52.17857142857143,1.9594026,41.785714285714285
24,1.5152494,52.5,1.632184,48.785714285714285
25,1.5045816,52.724489795918366,5.0049624,20.571428571428573
26,1.4874601,53.19897959183673,1.6699901,48.42857142857143
27,1.4756825,53.68877551020408,5.3300385,25.571428571428573
28,1.4709395,53.744897959183675,1.7883598,46.142857142857146
29,1.4555513,54.55612244897959,5.2186174,24.785714285714285
30,1.4434671,55.20918367346939,1.9727349,44.57142857142857
31,1.4350255,55.035714285714285,1.6141939,48.642857142857146
32,1.4311411,55.20918367346939,6.373202,26.428571428571427
33,1.4118336,55.714285714285715,4.1560216,26.071428571428573
34,1.3890975,56.55102040816327,2.4884474,42.785714285714285
35,1.3925546,56.36734693877551,1.9702442,43.142857142857146
36,1.3811384,56.484693877551024,1.4759465,52.357142857142854
37,1.3770577,56.80612244897959,1.8720267,41.42857142857143
38,1.3761811,56.984693877551024,2.1188233,44.5
39,1.3568166,57.68877551020408,1.8948712,48.142857142857146
40,1.3597944,57.316326530612244,2.096484,41.142857142857146
41,1.3471847,57.5,2.1430135,42.42857142857143
42,1.3339325,58.234693877551024,1.6955568,48.357142857142854
43,1.322935,58.29081632653061,1.6470274,49.642857142857146
44,1.3219938,58.70918367346939,1.6404835,49.714285714285715
45,1.3179713,58.454081632653065,2.7845318,32.0
46,1.3124421,58.744897959183675,1.847892,43.57142857142857
47,1.304087,59.27040816326531,1.8318218,46.42857142857143
48,1.3006407,58.96938775510204,1.9493293,44.714285714285715
49,1.2979523,59.20918367346939,2.7961106,31.5
50,1.2861497,59.41836734693877,1.5933986,51.0
51,1.281582,59.95918367346939,2.5301566,39.714285714285715
52,1.2813948,59.81122448979592,2.2587712,36.714285714285715
53,1.2765155,59.65816326530612,2.086058,43.07142857142857
54,1.2651805,60.05102040816327,1.9419196,45.285714285714285
55,1.2585983,60.64795918367347,2.8545973,30.857142857142858
56,1.2549722,60.58163265306123,3.0565753,33.785714285714285
57,1.2497559,60.59183673469388,1.8970213,45.214285714285715
58,1.2418858,60.826530612244895,1.9742104,45.57142857142857
59,1.2459143,60.724489795918366,1.7806367,47.214285714285715
