epoch,train_loss,train_acc,val_loss,val_acc
0,2.7691386,17.005102040816325,2.9946811,12.571428571428571
1,2.4959166,24.239795918367346,2.245283,30.571428571428573
2,2.328288,28.903061224489797,2.1992245,31.714285714285715
3,2.2180495,31.9234693877551,2.04811,36.92857142857143
4,2.1303527,34.535714285714285,2.0697978,35.642857142857146
5,2.0586944,36.265306122448976,1.9694656,38.642857142857146
6,1.9768066,38.75,1.8519706,41.92857142857143
7,1.9228504,40.11734693877551,1.7909044,45.142857142857146
8,1.8795722,41.22959183673469,1.802234,45.5
9,1.851032,42.5,1.8106862,41.714285714285715
10,1.8133081,43.66836734693877,1.6725821,46.714285714285715
11,1.7778735,44.29081632653061,1.6678967,45.5
12,1.7417514,45.36734693877551,1.6538993,47.142857142857146
13,1.7165838,45.86734693877551,1.6834133,48.0
14,1.686446,47.33673469387755,1.6036813,49.0
15,1.6616309,47.65816326530612,1.6441303,49.214285714285715
16,1.6359538,48.8469387755102,1.7416579,46.42857142857143
17,1.6100105,49.80102040816327,1.7207601,45.142857142857146
18,1.5811576,50.494897959183675,1.5006258,54.07142857142857
19,1.5591116,51.005102040816325,1.5778825,51.357142857142854
20,1.5481217,51.43877551020408,1.5908709,51.857142857142854
21,1.5290116,52.326530612244895,1.6760732,50.0
22,1.510997,52.474489795918366,1.6036638,50.285714285714285
23,1.4986788,52.933673469387756,1.5116073,52.785714285714285
24,1.4882507,53.54081632653061,1.7059314,48.357142857142854
25,1.4740069,53.77040816326531,1.6910541,48.357142857142854
26,1.4475205,54.214285714285715,1.5042436,52.5
27,1.4486853,54.47959183673469,1.456383,55.857142857142854
28,1.4365251,54.70918367346939,1.5263238,51.57142857142857
29,1.4216012,55.576530612244895,1.5469263,52.42857142857143
30,1.4123701,55.69897959183673,1.4288896,55.714285714285715
31,1.4008769,55.67857142857143,1.5024856,54.5
32,1.3854693,56.38265306122449,1.4944443,53.142857142857146
33,1.380679,56.474489795918366,1.3911965,56.5
34,1.3699906,56.88775510204081,1.4506352,56.07142857142857
35,1.355885,57.173469387755105,1.3661942,58.785714285714285
36,1.3542773,57.51020408163265,1.5001448,55.357142857142854
