epoch,train_loss,train_acc,val_loss,val_acc
0,2.7123919,22.73654159869494,2.6348863,27.272727272727273
1,2.3290424,32.03507340946167,2.3865664,33.285984848484844
2,2.1446717,36.41415171288744,2.5530987,34.58806818181818
3,2.0087433,39.55444535073409,3.1606297,22.703598484848484
4,1.8981764,43.21982055464927,1.6742781,47.30113636363637
5,1.7992324,45.84522838499184,1.687692,49.053030303030305
6,1.7255591,47.80281402936379,1.4442316,53.48011363636363
7,1.6348838,50.08666394779772,1.6198931,49.64488636363637
8,1.5806324,51.7536704730832,1.2839092,59.63541666666667
9,1.5199566,53.52773246329527,1.4461759,54.80587121212122
10,1.4885209,53.99673735725938,1.3776872,57.67045454545455
11,1.4465847,55.582177814029365,1.583342,53.38541666666667
12,1.4105334,56.86174551386623,1.3864411,57.33901515151515
13,1.3548641,58.115823817292004,1.5721105,52.48579545454545
14,1.3447037,58.584828711256115,1.9328785,42.54261363636363
15,1.3109014,59.48205546492659,1.3019247,58.90151515151515
16,1.2826653,60.374184339314844,1.3984698,54.64015151515151
17,1.2461703,61.22553017944535,1.3447522,55.303030303030305
18,1.2228777,62.13295269168026,1.1557877,62.38162878787878
19,1.1975245,62.84665579119086,1.1884371,63.56534090909091
20,1.1793833,63.21880097879282,1.119419,64.53598484848486
21,1.1546212,64.10073409461664,1.1217886,64.74905303030303
22,1.135382,64.5034665579119,1.2920429,58.71212121212122
23,1.1154095,65.4312805872757,1.0505792,66.61931818181819
24,1.1025277,65.56892332789559,1.0596058,65.98011363636364
25,1.081746,66.43046492659055,1.265913,61.67140151515151
26,1.0662816,66.76692495921696,1.0277563,67.14015151515152
27,1.0512809,67.30220228384992,2.7303116,41.78503787878788
28,1.0285656,67.96492659053834,1.1275207,66.07481060606061
