epoch,train_loss,train_acc,val_loss,val_acc
0,2.8491364,17.450040783034257,2.3644345,28.148674242424246
1,2.4827452,25.927814029363784,2.832978,21.543560606060606
2,2.2776446,31.515089722675366,3.339339,18.93939393939394
3,2.136593,35.29771615008156,1.8942522,40.60132575757576
4,2.0443616,37.64783849918434,1.7234473,45.64393939393939
5,1.9392214,40.385399673735726,1.7887418,42.353219696969695
6,1.8573438,43.00570962479608,1.9187832,40.90909090909091
7,1.7997179,44.397430668841764,1.5802196,49.384469696969695
8,1.7414061,45.71778140293638,1.6320267,48.50852272727273
9,1.705716,47.150285481239806,1.4908583,52.29640151515151
10,1.666947,48.35848287112561,1.662775,47.91666666666667
11,1.6286393,49.41884176182708,1.6519579,48.15340909090909
12,1.5922565,50.40783034257749,1.5348967,52.41477272727273
13,1.5612446,51.799551386623165,1.4317236,54.2376893939394
14,1.5416092,52.37051386623165,1.4215513,53.05397727272727
15,1.5197239,52.24306688417618,1.5209415,52.13068181818182
16,1.4974431,53.125,1.3427112,56.81818181818182
17,1.4704676,54.02222675367047,1.4321173,55.847537878787875
18,1.4522316,54.7971044045677,1.4959965,53.4564393939394
19,1.4272157,54.9347471451876,1.3520225,56.25
20,1.4242436,55.52610114192496,1.4043751,55.658143939393945
21,1.3982651,56.72410277324633,1.4026957,56.13162878787878
22,1.3817931,56.99429037520392,1.3776182,56.91287878787878
23,1.3623109,57.514274061990214,1.3687638,56.5814393939394
24,1.345501,58.16680261011419,1.2634493,60.44034090909091
25,1.3368847,58.22797716150082,1.6019226,50.04734848484849
26,1.3249807,58.523654159869494,1.3055274,58.61742424242424
27,1.3087307,59.27304241435563,1.2497542,61.339962121212125
28,1.3075875,59.65538336052202,1.3374996,58.45170454545455
29,1.2849832,59.77773246329527,1.2019917,62.28693181818182
30,1.2728196,59.84400489396411,1.3316755,58.87784090909091
31,1.2615913,60.28752039151713,1.2704897,58.90151515151515
32,1.2416925,61.09808319738988,1.0885292,64.01515151515152
33,1.2415305,60.75652528548124,1.2578218,60.25094696969697
34,1.2337742,61.08788743882545,1.1476182,63.660037878787875
35,1.2108736,62.11256117455139,1.208535,62.38162878787878
36,1.2106894,61.76590538336052,1.2046182,60.72443181818182
37,1.2106019,61.852569331158236,1.1330578,63.96780303030303
38,1.2014345,61.96472267536705,1.2398965,60.51136363636363
39,1.183219,62.83136215334421,1.1996222,62.35795454545455
40,1.1742853,63.147430668841764,1.1720268,64.5596590909091
41,1.1777294,63.22899673735726,1.1279198,64.08617424242424
42,1.1647682,63.49408646003263,1.1071435,65.10416666666667
43,1.1463237,64.18230016313214,1.1703306,64.27556818181819
44,1.1496195,63.46349918433931,1.1392981,64.93844696969697
45,1.1343132,64.46268352365416,1.1161845,64.29924242424242
46,1.1307248,64.61561990212071,1.0639769,66.21685606060606
47,1.1344429,64.56973898858075,1.0887196,66.50094696969697
48,1.1156085,64.9673735725938,1.118355,64.93844696969697
49,1.1129324,64.95207993474715,1.1205455,66.61931818181819
50,1.1055532,65.25795269168026,1.1048961,65.625
51,1.1070459,65.5434339314845,1.010424,68.72632575757576
52,1.1033907,65.4057911908646,1.3836608,58.73579545454545
53,1.0801339,66.11439641109298,1.0164886,68.48958333333333
54,1.0805563,65.90538336052202,1.1082904,66.50094696969697
55,1.0808331,65.9257748776509,1.0952692,67.11647727272727
56,1.058611,66.75163132137031,1.1437917,64.77272727272727
57,1.0734361,66.2010603588907,1.0576059,67.77935606060606
58,1.0500941,66.84339314845025,0.99362403,68.06344696969697
59,1.0397707,66.90456769983687,1.0455688,66.99810606060606
60,1.0416796,67.00652528548125,1.0180922,68.84469696969697
61,1.0352745,67.5163132137031,0.9890355,69.8153409090909
62,1.0319804,67.38886623164764,1.031739,68.2528409090909
63,1.0332596,67.42455138662316,1.0021994,68.93939393939394
64,1.0229971,67.87826264274062,1.1043276,67.06912878787878
65,1.0219481,67.97002446982056,1.2327725,63.56534090909091
