epoch,train_loss,train_acc,val_loss,val_acc
0,2.7323883,22.287928221859705,2.475285,28.432765151515152
1,2.3506489,31.204119086460032,2.364875,32.12594696969697
2,2.195909,35.03772430668842,2.358295,30.84753787878788
3,2.0737228,38.16272430668842,2.7962117,27.67518939393939
4,1.9786433,40.61990212071778,2.4980843,31.060606060606062
5,1.8872465,43.306484502446985,1.6640593,49.50284090909091
6,1.7961986,45.590334420880914,1.7072561,48.50852272727273
7,1.7207348,47.63968189233279,2.4701493,39.29924242424243
8,1.6505973,49.801182707993476,1.5474218,52.43844696969697
9,1.5825155,51.64151712887439,2.2663698,37.52367424242424
10,1.5477682,52.701876019575856,1.4818497,53.24337121212122
11,1.5121002,54.07320554649266,1.5954878,53.59848484848485
12,1.4720728,54.572797716150085,1.3542279,57.45738636363637
13,1.4127197,56.300978792822185,1.4908931,53.4564393939394
14,1.3917211,56.94331158238173,1.618655,50.78125
15,1.3626436,57.73858075040783,1.4594225,54.47443181818182
16,1.3210403,59.02834420880914,1.3865293,55.39772727272727
17,1.3110483,59.44127243066884,1.3411055,56.67613636363637
18,1.2890024,59.8949836867863,1.1943886,62.21590909090909
19,1.2703108,60.72084013050571,1.441749,56.48674242424242
20,1.2417393,61.57728384991844,1.3040429,57.8125
21,1.2192612,62.015701468189235,1.1119455,64.89109848484848
22,1.2010247,62.673327895595435,1.1711292,63.42329545454545
23,1.1808959,63.43800978792822,1.210887,61.553030303030305
24,1.1597972,63.886623164763456,1.0814328,66.09848484848486
25,1.1388458,64.2536704730832,1.0931011,63.16287878787878
26,1.1250753,65.07442903752039,1.1105982,64.32291666666667
27,1.1077044,65.53323817292006,1.2734009,58.972537878787875
28,1.1064881,65.40069331158239,1.302923,59.80113636363637
29,1.0882126,66.13988580750407,1.0141985,67.87405303030303
30,1.0693184,66.70575040783034,1.1787,64.01515151515152
