epoch,train_loss,train_acc,val_loss,val_acc
0,0.17116362,96.0,45.907253,16.44736842105263
1,0.01379819,100.0,54.788235,16.44736842105263
2,1.1882364e-05,100.0,56.862267,16.44736842105263
3,0.0005862541,100.0,58.578556,16.44736842105263
4,0.004175749,100.0,78.017075,16.44736842105263
5,0.0,100.0,81.10933,16.44736842105263
6,0.0,100.0,81.35831,16.44736842105263
7,1.1324878e-08,100.0,81.452705,16.44736842105263
8,2.3174912e-06,100.0,91.68895,16.44736842105263
9,2.604655e-07,100.0,93.10875,16.44736842105263
10,0.0,100.0,93.21736,16.44736842105263
11,0.0,100.0,93.22551,16.44736842105263
12,0.0,100.0,93.22613,16.44736842105263
13,0.01521842,100.0,117.386566,16.44736842105263
14,0.0,100.0,135.86331,16.44736842105263
15,0.0,100.0,137.28523,16.44736842105263
16,4.7683693e-09,100.0,137.392,16.44736842105263
17,0.0,100.0,137.39996,16.44736842105263
18,0.016702,100.0,137.40489,16.44736842105263
19,0.0,100.0,137.40538,16.44736842105263
20,0.0,100.0,137.4054,16.44736842105263
21,1.3649364e-07,100.0,137.9359,16.44736842105263
22,0.0,100.0,137.99191,16.44736842105263
23,1.3530071e-07,100.0,138.10637,16.44736842105263
24,2.9802314e-09,100.0,138.11603,16.44736842105263
25,1.7344651e-07,100.0,138.11804,16.44736842105263
26,1.4901138e-08,100.0,138.1268,16.44736842105263
27,5.960464e-10,100.0,138.13051,16.44736842105263
28,0.0,100.0,138.13124,16.44736842105263
29,0.0,100.0,138.13145,16.44736842105263
30,0.0,100.0,138.13147,16.44736842105263
31,1.6271802e-07,100.0,138.13237,16.44736842105263
32,0.0,100.0,138.13287,16.44736842105263
33,1.1920928e-09,100.0,138.13457,16.44736842105263
34,8.2426453e-07,100.0,138.1873,16.44736842105263
35,0.0,100.0,138.31364,16.44736842105263
36,1.1632609e-05,100.0,140.24806,16.44736842105263
37,0.0,100.0,156.74306,16.44736842105263
38,0.0,100.0,157.9721,16.44736842105263
39,4.1723234e-09,100.0,158.06299,16.44736842105263
40,0.0,100.0,158.0697,16.44736842105263
41,0.0,100.0,158.07019,16.44736842105263
42,1.788139e-09,100.0,158.07036,16.44736842105263
43,0.0,100.0,158.0706,16.44736842105263
44,0.0,100.0,158.0706,16.44736842105263
45,0.0,100.0,158.0706,16.44736842105263
