epoch,train_loss,train_acc,val_loss,val_acc
0,2.547303,25.489396411092986,3.4773567,20.430871212121215
1,2.1334956,35.12948613376835,2.8051825,28.148674242424246
2,2.0133994,39.238376835236544,1.971741,40.95643939393939
3,1.9292604,41.48654159869494,2.0585134,39.08617424242424
4,1.8779988,43.15354812398042,1.8394717,45.833333333333336
5,1.8136027,44.784869494290376,1.7592982,47.51420454545455
6,1.7728245,45.94718597063621,1.6071784,50.82859848484849
7,1.7255573,47.293026101141926,1.5746142,51.160037878787875
8,1.6948957,48.552202283849915,1.5345653,51.2310606060606
9,1.6469369,49.42903752039152,1.5683638,49.78693181818182
10,1.5923717,51.08584828711256,1.4391203,55.279356060606055
11,1.5697143,51.87092169657423,1.4567504,53.24337121212122
12,1.5415515,52.78853996737357,1.4708399,53.76420454545455
13,1.4946703,54.083401305057095,1.4726452,53.716856060606055
14,1.4698418,54.29241435562806,1.4913288,53.69318181818182
15,1.4486837,54.89906199021207,2.637595,36.43465909090909
16,1.4149561,56.158238172920065,1.5102724,54.02462121212122
17,1.4045843,56.51508972267537,1.4606478,53.69318181818182
18,1.3928223,56.88723491027732,1.4512032,55.70549242424242
19,1.3682623,57.718189233278956,1.9448699,39.20454545454545
20,1.3528129,57.758972267536706,1.4094801,56.72348484848485
21,1.3217487,58.911092985318106,1.3208683,58.71212121212122
22,1.3114203,59.33421696574225,1.2502666,59.63541666666667
23,1.2999468,59.65538336052202,1.4087678,58.28598484848485
24,1.2925984,59.43617455138662,1.1619391,64.70170454545455
25,1.2696191,60.54751223491028,1.6481249,50.49715909090909
26,1.2701883,60.27732463295269,1.354557,58.47537878787878
27,1.257206,60.73103588907015,1.1857727,62.71306818181818
28,1.2612041,60.766721044045674,1.2627249,59.35132575757576
29,1.2391199,61.17964926590538,1.3301319,59.09090909090909
30,1.2238308,62.19412724306689,1.5241226,53.55113636363637
31,1.2234082,61.94433115823817,1.3151412,59.09090909090909
32,1.2043045,62.591761827079935,1.1571966,63.84943181818182
33,1.1954867,62.74979608482871,1.2434672,60.36931818181818
34,1.1848468,62.98939641109298,1.2655181,60.9375
35,1.1745038,63.392128874388256,1.0929242,64.72537878787878
36,1.156497,63.866231647634585,1.037897,66.1221590909091
37,1.1606183,63.65721859706362,1.3435191,55.20833333333333
38,1.1569002,64.0089722675367,1.2032467,62.14488636363637
39,1.1309438,64.69718597063621,1.0446576,67.54261363636364
40,1.1369768,64.6105220228385,1.0550334,66.28787878787878
41,1.1258711,64.8297308319739,1.3108076,58.45170454545455
42,1.1261415,64.54424959216966,1.2861633,59.73011363636363
43,1.1196097,64.51366231647634,1.2443697,61.36363636363637
44,1.1158861,65.11011419249593,1.085335,67.44791666666667
45,1.0978205,65.40069331158239,1.1499301,64.15719696969697
46,1.0991039,65.30893148450245,1.0182562,69.12878787878788
47,1.0935441,65.24775693311582,1.1306788,64.01515151515152
48,1.0926372,65.65048939641109,1.3006376,62.61837121212122
49,1.0838176,66.16537520391518,1.1757637,64.3465909090909
50,1.0701092,66.22654975530179,1.3184595,59.58806818181818
51,1.0730324,66.10420065252855,1.1313254,64.77272727272727
52,1.0517439,66.68026101141925,1.117191,65.71969696969697
53,1.0577416,66.54261827079935,1.0220534,67.1875
54,1.0546713,66.91986133768353,1.4696025,55.634469696969695
55,1.0458608,67.04221044045677,1.1054808,64.70170454545455
56,1.0446079,66.78221859706362,1.1139928,65.3409090909091
57,1.0409478,67.30220228384992,1.1450316,64.91477272727273
58,1.0394102,67.14416802610114,1.0362992,67.63731060606061
59,1.033826,67.58768352365416,0.9903145,69.19981060606061
