epoch,train_loss,train_acc,val_loss,val_acc
0,3.1129594,9.53061224489796,2.9772036,11.571428571428571
1,2.9675245,12.928571428571429,2.8447242,16.928571428571427
2,2.6909256,19.336734693877553,2.515065,22.214285714285715
3,2.45021,24.806122448979593,2.5977464,19.0
4,2.3287761,28.581632653061224,2.670473,21.5
5,2.2308106,31.474489795918366,2.2388825,29.857142857142858
6,2.1492975,33.545918367346935,2.0553365,36.285714285714285
7,2.0454576,36.505102040816325,2.006461,36.57142857142857
8,1.9772674,38.80102040816327,1.9817919,40.42857142857143
9,1.8975098,40.83163265306123,2.3142977,34.714285714285715
10,1.8517476,42.23979591836735,2.5757415,31.285714285714285
11,1.7996751,43.55102040816327,1.8308022,41.142857142857146
12,1.8519298,42.454081632653065,2.9189374,29.5
13,1.7800843,44.34183673469388,1.8220569,43.357142857142854
14,1.7408775,45.515306122448976,2.426956,35.0
15,1.7084389,46.36734693877551,2.0446012,42.0
16,1.6660566,47.97959183673469,3.447065,26.071428571428573
17,1.6443127,48.40816326530612,2.1062386,36.785714285714285
18,1.6311442,48.86734693877551,1.8712023,40.92857142857143
19,1.5971524,49.86224489795919,1.8923744,42.5
20,1.5817672,50.27040816326531,1.6509823,47.5
21,1.566607,50.66326530612245,1.763295,45.214285714285715
22,1.5437465,51.76020408163265,2.088364,43.07142857142857
23,1.5315931,51.785714285714285,1.7575082,46.92857142857143
24,1.5247339,52.01020408163265,2.0009077,45.0
25,1.5000316,52.63265306122449,1.8944411,46.857142857142854
26,1.4877343,53.05102040816327,1.7406199,47.42857142857143
27,1.4774343,53.3469387755102,2.0319207,44.07142857142857
28,1.4679983,53.91326530612245,2.0239701,45.5
29,1.453766,54.204081632653065,2.9585001,39.142857142857146
30,1.4429948,54.326530612244895,2.0475805,44.642857142857146
31,1.4314284,55.0,2.0906343,43.42857142857143
32,1.4256848,55.13265306122449,2.1751864,43.714285714285715
33,1.40718,55.734693877551024,1.9295863,45.57142857142857
34,1.3985605,55.72959183673469,2.0499225,43.0
35,1.3958901,55.69387755102041,1.625992,52.357142857142854
36,1.3824689,56.61734693877551,4.6859,33.714285714285715
37,1.3702785,56.64795918367347,2.0419145,42.642857142857146
38,1.3701503,56.61734693877551,2.6680522,39.285714285714285
39,1.3636696,56.80612244897959,3.9197838,34.642857142857146
40,1.3374283,57.48979591836735,1.836497,47.714285714285715
41,1.3392215,57.61734693877551,2.4729784,41.42857142857143
42,1.3359882,57.673469387755105,2.3371828,43.785714285714285
43,1.3233798,58.34183673469388,2.257126,42.57142857142857
44,1.3200334,58.40816326530612,4.262161,30.0
45,1.3264272,57.80102040816327,2.7472615,36.357142857142854
46,1.3050226,58.66836734693877,2.630629,39.357142857142854
47,1.3001988,58.642857142857146,2.248624,48.785714285714285
48,1.2890986,59.01020408163265,2.7782433,39.42857142857143
49,1.2821876,59.316326530612244,1.8219115,47.07142857142857
